score,label,rating,review_count,name,cuisine,price,location/city,location/display_address/0,location/display_address/1,location/country,location/address2,location/address3,location/state,location/address1,location/zip_code,id,location/display_address/2
0.762859165668,1,4.5,1179,Wah Fung No 1 Fast Food,chinese,$,New York,79 Chrystie St,"New York, NY 10002",US,,,NY,79 Chrystie St,10002,X8ZS-dgiMIJvhwf9SaDnjw,
0.762859165668,1,4.5,663,Shu Jiao Fu Zhou Cuisine Restaurant,chinese,$,New York,118 Eldridge St,"New York, NY 10002",US,,,NY,118 Eldridge St,10002,lynQoI3w_pzYfHGeuUU-Qg,
0.762859165668,1,4.5,1179,Wah Fung No 1 Fast Food,chinese,$,New York,79 Chrystie St,"New York, NY 10002",US,,,NY,79 Chrystie St,10002,X8ZS-dgiMIJvhwf9SaDnjw,
0.762859165668,1,4.5,663,Shu Jiao Fu Zhou Cuisine Restaurant,chinese,$,New York,118 Eldridge St,"New York, NY 10002",US,,,NY,118 Eldridge St,10002,lynQoI3w_pzYfHGeuUU-Qg,
0.762859165668,1,4.5,670,La Contenta,mexican,$$,New York,102 Norfolk St,"New York, NY 10002",US,,,NY,102 Norfolk St,10002,6Ct7OeTRn4caY9g0swFBsw,
0.762859165668,1,4.5,636,Jajaja,mexican,$$,New York,162 E Broadway,"New York, NY 10002",US,,,NY,162 E Broadway,10002,XipQLDbyTl5tsLlyzAWzug,
0.762859165668,1,4.5,848,Raku,japanese,$$,New York,342 E 6th St,"New York, NY 10003",US,,,NY,342 E 6th St,10003,FlZ1zdVEKWv7dwqm8Uw8-w,
0.762859165668,1,4.5,824,DOMODOMO,japanese,$$$,New York,140 W Houston St,"New York, NY 10012",US,,,NY,140 W Houston St,10012,BPZfuPvSxCfoppU4lPFm0Q,
0.762859165668,1,4.5,1373,Barn Joo 35,korean,$$,New York,34 W 35th St,"New York, NY 10001",US,,,NY,34 W 35th St,10001,xZ96vaoL-cQjfotmUKtjJQ,
0.762859165668,1,4.5,1139,Thursday Kitchen,korean,$$,New York,424 E 9th St,"New York, NY 10009",US,,,NY,424 E 9th St,10009,fVbUVAiLiGgLA_nxBFxyww,
0.762859165668,1,4.5,748,Whiskey Tavern,bar,$$,New York,79 Baxter St,"New York, NY 10013",US,,,NY,79 Baxter St,10013,c3Ww3pgeHjBi3ctkeUWrjQ,
0.762859165668,1,4.5,1392,Raines Law Room,bar,$$$,New York,48 W 17th St,"New York, NY 10011",US,,,NY,48 W 17th St,10011,J4pAppaiXwCkbLOGc4wHww,
0.762859165668,1,4.5,1334,The MasalaWala,indian,$$,New York,179 Essex St,"New York, NY 10002",US,,,NY,179 Essex St,10002,sCC7-hSdCkNPExejZT9BAQ,
0.762859165668,1,4.5,1506,Bengal Tiger Indian Food,indian,$$,New York,58 W 56th St,Fl 2,US,Fl 2,,NY,58 W 56th St,10019,x0k5kFArHLijdY8-NEQ7Xg,"New York, NY 10019"
0.762859165668,1,4.5,875,The Drunken Munkey - UES,indian,$$,New York,338 E 92nd St,"New York, NY 10128",US,,,NY,338 E 92nd St,10128,9pMhRYYgV7E9L7pzECtJKA,
0.762859165668,1,4.5,738,Rincon Criollo,spanish,$$,Corona,40-09 Junction Blvd,"Corona, NY 11368",US,,,NY,40-09 Junction Blvd,11368,zekbMn7KWtzxTFLtfEqb1w,
0.762859165668,1,4.5,2557,Club A Steakhouse,steakhouse,$$$,New York,240 E 58th St,"New York, NY 10022",US,,,NY,240 E 58th St,10022,A_YpTLbAlEqeLVSs9bxbEA,
0.762859165668,1,4.5,751,DeStefano's Steakhouse,steakhouse,$$$,Brooklyn,89 Conselyea St,"Brooklyn, NY 11211",US,,,NY,89 Conselyea St,11211,hthvpEL7JEbfxfD6iP9axQ,
0.762859165668,1,4.5,2750,Del Frisco's Double Eagle Steakhouse,steakhouse,$$$$,New York,1221 Ave Of The Americas,"New York, NY 10020",US,,,NY,1221 Ave Of The Americas,10020,b8a-8u_A51v2IzyjLVsx6w,
0.762859165668,1,4.5,989,Boucherie West Village,steakhouse,$$$,New York,99 7th Ave S,"New York, NY 10014",US,,,NY,99 7th Ave S,10014,s3jou_L_LVYGkNHiuhjlew,
